,nominal_temperature,boundary_conditions
29,76,"[78, 22, 35, 9, 100, 88, 77, 81, 86, 51, 96, 58, 71, 16, 45, 99, 60, 63, 65, 38, 75, 12, 92, 86, 62, 82, 49, 51, 47, 23, 85, 41, 92, 51, 31, 2]"
30,31,"[20, 34, 52, 0, 32, 80, 57, 53, 85, 37, 26, 100, 78, 50, 79, 77, 76, 41, 19, 76, 27, 79, 71, 53, 66, 43, 37, 37, 12, 8, 32, 4, 91, 89, 98, 5]"
31,36,"[85, 42, 17, 44, 10, 75, 64, 2, 16, 27, 16, 88, 5, 26, 17, 40, 12, 13, 82, 29, 24, 92, 60, 37, 45, 88, 11, 65, 94, 69, 82, 12, 99, 6, 6, 86]"
32,28,"[11, 88, 71, 37, 4, 40, 92, 21, 31, 36, 36, 52, 34, 24, 16, 40, 98, 80, 27, 34, 78, 22, 34, 6, 71, 60, 77, 92, 7, 46, 43, 50, 89, 74, 34, 22]"
33,12,"[42, 93, 15, 44, 81, 14, 94, 39, 42, 24, 25, 3, 63, 70, 91, 53, 63, 74, 9, 40, 55, 20, 56, 15, 46, 95, 49, 9, 80, 83, 69, 19, 55, 80, 11, 56]"
34,74,"[58, 77, 12, 25, 92, 24, 51, 77, 54, 98, 69, 94, 78, 97, 24, 19, 32, 27, 63, 69, 55, 73, 69, 74, 24, 20, 8, 33, 57, 16, 12, 10, 64, 4, 75, 53]"
35,32,"[43, 42, 78, 10, 79, 62, 83, 66, 88, 83, 76, 45, 85, 61, 42, 39, 42, 97, 61, 91, 3, 27, 90, 27, 2, 26, 35, 75, 31, 78, 24, 86, 82, 100, 39, 62]"
36,34,"[54, 96, 81, 73, 5, 49, 81, 92, 88, 2, 42, 89, 26, 1, 30, 97, 68, 98, 11, 7, 93, 51, 93, 50, 74, 27, 60, 99, 75, 31, 20, 98, 24, 25, 65, 6]"
37,37,"[57, 80, 43, 64, 68, 58, 44, 45, 70, 11, 15, 99, 20, 84, 74, 45, 93, 52, 32, 100, 24, 89, 53, 82, 30, 26, 100, 54, 2, 69, 0, 55, 89, 2, 3, 29]"
38,67,"[44, 18, 0, 7, 2, 48, 57, 91, 1, 85, 3, 81, 7, 44, 28, 67, 76, 38, 93, 92, 44, 59, 69, 0, 59, 41, 60, 49, 60, 56, 45, 42, 52, 58, 92, 39]"
39,71,"[84, 42, 99, 22, 84, 51, 43, 82, 65, 81, 69, 45, 40, 8, 1, 65, 94, 11, 64, 80, 94, 92, 47, 97, 16, 40, 1, 89, 93, 15, 62, 2, 40, 60, 57, 11]"
40,22,"[68, 98, 36, 66, 92, 7, 58, 48, 29, 67, 60, 52, 79, 20, 42, 18, 10, 12, 48, 72, 42, 100, 0, 99, 35, 82, 55, 38, 60, 66, 10, 80, 48, 64, 83, 66]"
41,27,"[46, 85, 22, 1, 22, 57, 82, 68, 45, 93, 67, 81, 42, 36, 35, 4, 70, 15, 62, 28, 24, 97, 47, 99, 65, 31, 8, 74, 5, 74, 37, 51, 79, 10, 14, 45]"
42,91,"[50, 74, 23, 96, 40, 95, 71, 21, 82, 14, 47, 48, 97, 92, 40, 9, 27, 47, 8, 51, 37, 5, 26, 37, 8, 91, 26, 12, 16, 75, 72, 61, 95, 10, 68, 50]"
43,93,"[91, 4, 15, 59, 67, 4, 84, 74, 14, 23, 37, 77, 27, 33, 56, 98, 49, 26, 100, 88, 4, 29, 85, 1, 10, 73, 46, 24, 14, 66, 70, 40, 23, 44, 5, 99]"
44,14,"[62, 98, 92, 60, 0, 70, 9, 83, 79, 20, 46, 62, 43, 5, 36, 36, 83, 73, 46, 31, 74, 5, 35, 64, 70, 35, 0, 1, 37, 16, 1, 78, 79, 17, 20, 71]"
45,62,"[8, 22, 45, 99, 57, 77, 97, 91, 96, 23, 90, 57, 92, 73, 63, 41, 30, 46, 89, 78, 90, 14, 21, 20, 28, 20, 59, 29, 14, 41, 24, 79, 10, 99, 59, 65]"
46,38,"[9, 16, 25, 53, 60, 59, 99, 76, 31, 41, 97, 41, 1, 86, 47, 74, 95, 31, 55, 42, 19, 25, 16, 81, 58, 20, 10, 34, 26, 48, 21, 41, 64, 15, 72, 42]"
47,95,"[50, 87, 83, 18, 58, 83, 50, 0, 9, 1, 56, 51, 3, 72, 84, 42, 85, 70, 49, 7, 97, 61, 56, 7, 95, 21, 100, 76, 99, 71, 64, 33, 62, 38, 30, 93]"
48,71,"[75, 90, 8, 18, 100, 98, 19, 82, 44, 44, 94, 85, 70, 27, 78, 56, 48, 70, 73, 85, 99, 30, 11, 11, 69, 92, 68, 54, 94, 68, 42, 32, 23, 65, 93, 61]"
49,19,"[27, 6, 51, 10, 92, 92, 54, 31, 24, 80, 62, 74, 57, 76, 12, 66, 21, 10, 52, 18, 14, 87, 46, 34, 22, 81, 20, 18, 37, 28, 19, 4, 48, 22, 100, 46]"
50,18,"[44, 98, 21, 81, 98, 44, 46, 60, 26, 37, 37, 20, 29, 30, 32, 0, 32, 63, 2, 74, 97, 94, 81, 35, 29, 30, 64, 59, 24, 25, 35, 66, 47, 76, 6, 86]"
51,53,"[93, 87, 20, 8, 99, 26, 4, 44, 99, 71, 32, 71, 88, 3, 73, 30, 6, 81, 38, 97, 82, 83, 39, 18, 22, 75, 58, 87, 39, 30, 49, 68, 65, 64, 39, 20]"
52,66,"[44, 56, 71, 80, 58, 35, 65, 62, 17, 3, 88, 8, 53, 24, 96, 43, 57, 98, 4, 32, 75, 31, 90, 78, 10, 31, 68, 53, 29, 45, 65, 1, 37, 22, 51, 66]"
53,95,"[34, 13, 71, 25, 78, 43, 71, 36, 19, 72, 16, 75, 89, 72, 80, 77, 82, 43, 7, 49, 10, 10, 39, 84, 47, 20, 81, 42, 79, 3, 76, 98, 65, 41, 89, 67]"
54,68,"[27, 93, 2, 45, 69, 22, 10, 82, 82, 89, 82, 52, 72, 69, 38, 79, 51, 41, 6, 24, 18, 7, 93, 13, 79, 18, 87, 18, 36, 34, 76, 45, 85, 61, 80, 87]"
55,33,"[29, 0, 78, 87, 57, 32, 14, 51, 45, 6, 83, 10, 87, 85, 41, 56, 72, 87, 81, 37, 1, 91, 55, 15, 9, 92, 95, 19, 34, 30, 73, 34, 46, 55, 0, 66]"
56,94,"[59, 87, 69, 88, 5, 72, 0, 38, 10, 33, 60, 0, 34, 1, 83, 5, 48, 46, 22, 52, 71, 13, 55, 84, 66, 8, 4, 89, 50, 12, 86, 8, 82, 26, 63, 56]"
57,55,"[95, 56, 40, 91, 31, 97, 69, 64, 62, 8, 22, 75, 58, 57, 31, 11, 36, 38, 76, 68, 73, 9, 83, 20, 83, 55, 15, 12, 47, 5, 21, 82, 72, 36, 11, 5]"
58,41,"[58, 80, 62, 44, 82, 34, 82, 72, 15, 69, 83, 8, 23, 13, 20, 97, 24, 50, 76, 33, 64, 67, 98, 56, 33, 50, 93, 40, 29, 99, 13, 71, 80, 88, 32, 43]"
59,69,"[83, 16, 99, 8, 53, 45, 76, 75, 89, 50, 41, 8, 4, 66, 31, 22, 56, 91, 37, 85, 59, 89, 73, 49, 12, 23, 31, 54, 53, 38, 41, 68, 17, 70, 77, 6]"
60,27,"[33, 61, 11, 80, 90, 43, 58, 24, 76, 89, 83, 84, 57, 58, 50, 7, 34, 5, 11, 98, 92, 24, 3, 0, 66, 47, 20, 6, 40, 74, 1, 18, 48, 57, 85, 81]"
61,2,"[59, 47, 38, 35, 59, 13, 6, 91, 60, 17, 7, 83, 47, 44, 27, 44, 45, 9, 78, 11, 100, 2, 50, 46, 96, 40, 40, 75, 53, 93, 72, 59, 60, 70, 100, 85]"
62,11,"[2, 47, 37, 19, 9, 87, 64, 57, 20, 0, 28, 99, 91, 1, 90, 67, 98, 19, 25, 39, 33, 59, 9, 84, 81, 58, 57, 70, 49, 36, 4, 38, 21, 76, 71, 52]"
63,59,"[45, 14, 33, 72, 98, 80, 1, 82, 43, 27, 11, 28, 12, 47, 4, 33, 40, 83, 8, 47, 72, 76, 86, 17, 1, 8, 26, 51, 75, 8, 30, 32, 43, 87, 88, 100]"
64,97,"[45, 96, 92, 91, 51, 59, 45, 90, 10, 37, 25, 88, 74, 72, 52, 30, 23, 28, 82, 28, 2, 30, 28, 49, 1, 34, 96, 13, 54, 2, 10, 62, 71, 74, 39, 64]"
65,52,"[72, 89, 44, 8, 54, 69, 16, 51, 93, 84, 37, 29, 21, 97, 25, 79, 75, 9, 92, 92, 68, 30, 26, 54, 92, 2, 61, 19, 55, 86, 54, 23, 9, 49, 61, 18]"
66,94,"[1, 90, 29, 38, 60, 18, 8, 69, 56, 54, 28, 92, 25, 41, 30, 59, 5, 58, 44, 48, 86, 26, 67, 38, 90, 59, 28, 30, 5, 53, 15, 45, 96, 17, 14, 29]"
67,56,"[58, 50, 47, 63, 27, 21, 17, 2, 2, 19, 90, 92, 57, 80, 38, 98, 79, 82, 7, 61, 62, 24, 87, 63, 99, 49, 8, 42, 79, 23, 3, 57, 22, 71, 42, 32]"
68,50,"[36, 42, 45, 3, 21, 20, 67, 43, 62, 62, 50, 56, 5, 2, 87, 60, 34, 50, 54, 63, 0, 65, 60, 17, 82, 13, 9, 59, 74, 98, 92, 51, 28, 65, 95, 62]"
69,9,"[34, 16, 87, 73, 83, 73, 68, 3, 67, 2, 60, 18, 37, 43, 11, 4, 43, 14, 40, 98, 12, 68, 60, 15, 77, 3, 95, 63, 94, 37, 95, 15, 86, 55, 45, 59]"
70,42,"[9, 97, 2, 99, 83, 73, 71, 34, 18, 40, 64, 21, 37, 76, 56, 0, 77, 72, 48, 23, 24, 73, 29, 98, 79, 41, 94, 27, 67, 65, 0, 74, 48, 37, 59, 39]"
71,5,"[85, 27, 82, 58, 23, 75, 94, 42, 20, 18, 19, 68, 11, 56, 71, 51, 28, 64, 32, 57, 60, 5, 11, 12, 31, 83, 30, 58, 61, 35, 67, 87, 38, 34, 60, 85]"
72,43,"[3, 61, 17, 64, 45, 38, 57, 42, 45, 9, 39, 69, 20, 69, 4, 11, 36, 13, 0, 99, 69, 80, 15, 14, 81, 58, 15, 81, 39, 92, 41, 24, 72, 13, 10, 30]"
73,90,"[41, 50, 33, 34, 19, 99, 67, 67, 98, 39, 60, 44, 86, 52, 0, 20, 80, 48, 80, 80, 38, 24, 0, 6, 19, 61, 91, 93, 82, 4, 76, 83, 54, 94, 92, 76]"
74,21,"[11, 22, 80, 13, 69, 80, 42, 94, 43, 70, 18, 33, 70, 61, 7, 58, 54, 66, 51, 27, 49, 97, 34, 75, 85, 1, 66, 61, 85, 53, 2, 41, 12, 78, 62, 61]"
75,22,"[88, 24, 8, 67, 30, 41, 24, 86, 82, 17, 61, 80, 69, 63, 20, 11, 6, 90, 74, 80, 18, 79, 60, 15, 50, 82, 79, 51, 55, 25, 96, 17, 85, 38, 68, 89]"
76,59,"[43, 37, 89, 11, 97, 2, 55, 27, 78, 46, 8, 67, 67, 38, 99, 84, 38, 67, 20, 96, 89, 40, 76, 88, 29, 91, 98, 92, 59, 26, 67, 89, 78, 81, 49, 77]"
77,61,"[54, 74, 64, 65, 44, 94, 70, 88, 3, 52, 29, 79, 21, 64, 86, 80, 9, 30, 93, 85, 81, 71, 69, 17, 84, 59, 55, 9, 7, 47, 22, 87, 39, 66, 15, 65]"
78,96,"[64, 39, 48, 100, 10, 69, 61, 51, 43, 98, 52, 83, 64, 25, 60, 96, 23, 49, 82, 2, 27, 0, 44, 80, 69, 58, 84, 26, 0, 11, 90, 8, 50, 57, 72, 39]"
79,31,"[79, 52, 93, 77, 87, 61, 8, 45, 90, 42, 53, 28, 93, 62, 11, 18, 43, 60, 62, 38, 80, 19, 22, 15, 77, 32, 77, 7, 25, 83, 11, 25, 9, 85, 12, 51]"
80,31,"[59, 93, 10, 51, 79, 85, 42, 50, 53, 98, 5, 56, 49, 80, 80, 87, 48, 9, 76, 51, 85, 13, 62, 53, 88, 93, 96, 4, 19, 32, 96, 19, 11, 69, 56, 40]"
81,24,"[84, 76, 17, 1, 90, 34, 40, 57, 81, 94, 13, 41, 5, 38, 77, 45, 77, 66, 20, 64, 44, 68, 11, 86, 59, 88, 86, 87, 17, 89, 35, 71, 33, 46, 89, 18]"
82,95,"[95, 7, 27, 27, 49, 5, 34, 99, 96, 16, 12, 70, 89, 7, 55, 94, 9, 88, 97, 20, 76, 89, 11, 18, 2, 83, 97, 71, 22, 39, 54, 82, 83, 35, 72, 69]"
83,14,"[8, 62, 87, 85, 66, 69, 23, 21, 60, 72, 69, 70, 82, 76, 56, 88, 53, 35, 1, 93, 91, 40, 18, 47, 25, 84, 84, 21, 66, 47, 77, 2, 3, 36, 2, 76]"
84,73,"[38, 5, 43, 1, 99, 71, 86, 100, 1, 49, 61, 99, 3, 20, 20, 58, 77, 64, 2, 23, 44, 52, 89, 87, 53, 52, 83, 57, 36, 23, 66, 57, 93, 63, 61, 93]"
85,8,"[55, 68, 25, 88, 56, 93, 66, 21, 81, 3, 91, 74, 59, 65, 92, 1, 86, 51, 51, 74, 72, 81, 83, 73, 61, 19, 19, 65, 10, 76, 36, 61, 65, 98, 89, 94]"
86,87,"[89, 70, 63, 63, 41, 84, 53, 81, 87, 23, 45, 28, 20, 48, 38, 39, 24, 86, 35, 26, 46, 89, 99, 63, 20, 19, 57, 29, 76, 30, 94, 92, 52, 90, 21, 43]"
87,75,"[95, 7, 68, 14, 86, 79, 46, 65, 92, 80, 1, 53, 89, 81, 54, 41, 45, 55, 33, 72, 93, 43, 89, 93, 86, 45, 44, 11, 11, 0, 71, 8, 69, 50, 76, 64]"
88,65,"[5, 16, 65, 22, 24, 1, 71, 23, 68, 71, 94, 15, 79, 18, 31, 71, 46, 16, 23, 13, 67, 24, 27, 93, 24, 14, 82, 23, 70, 67, 70, 29, 43, 0, 78, 21]"
89,84,"[73, 82, 66, 57, 2, 54, 97, 26, 88, 54, 53, 46, 14, 9, 49, 27, 52, 69, 48, 63, 57, 49, 5, 45, 82, 49, 93, 71, 15, 95, 7, 76, 23, 13, 54, 32]"
90,5,"[26, 18, 85, 43, 61, 89, 29, 44, 18, 35, 25, 25, 90, 22, 42, 46, 19, 86, 89, 25, 18, 78, 76, 38, 95, 81, 65, 15, 41, 66, 73, 86, 78, 96, 72, 96]"
91,83,"[97, 51, 45, 6, 48, 48, 65, 94, 76, 85, 29, 23, 57, 7, 6, 46, 62, 64, 62, 64, 18, 45, 18, 56, 7, 49, 89, 71, 65, 58, 19, 68, 41, 93, 100, 99]"
92,91,"[48, 56, 45, 63, 85, 69, 49, 19, 90, 68, 26, 79, 66, 55, 95, 72, 17, 37, 18, 84, 41, 79, 13, 45, 42, 13, 53, 72, 12, 36, 64, 55, 10, 60, 89, 95]"
93,7,"[39, 2, 40, 73, 91, 54, 11, 87, 97, 56, 14, 54, 36, 90, 27, 40, 27, 72, 45, 16, 6, 34, 65, 97, 42, 8, 84, 21, 92, 99, 19, 13, 97, 66, 62, 31]"
94,100,"[94, 59, 49, 11, 55, 48, 97, 71, 57, 9, 64, 9, 31, 70, 66, 52, 7, 11, 7, 9, 54, 4, 87, 68, 3, 24, 22, 49, 65, 67, 52, 89, 13, 44, 46, 50]"
95,51,"[20, 14, 76, 74, 13, 22, 28, 22, 18, 97, 32, 85, 33, 82, 47, 85, 10, 98, 7, 86, 51, 0, 34, 75, 29, 4, 65, 11, 57, 72, 82, 41, 91, 55, 69, 48]"
96,45,"[23, 38, 23, 34, 59, 24, 82, 49, 15, 14, 18, 23, 20, 9, 13, 35, 31, 85, 100, 66, 0, 22, 74, 39, 44, 6, 82, 52, 54, 77, 4, 65, 22, 91, 42, 36]"
97,0,"[91, 89, 48, 3, 41, 94, 40, 71, 2, 10, 0, 79, 41, 53, 100, 78, 50, 69, 86, 58, 71, 78, 31, 71, 74, 35, 36, 10, 67, 74, 48, 75, 40, 55, 6, 56]"
98,76,"[93, 95, 5, 35, 37, 31, 51, 57, 28, 7, 71, 33, 56, 2, 84, 0, 55, 41, 88, 62, 8, 43, 2, 64, 41, 22, 15, 29, 65, 47, 80, 77, 53, 4, 37, 21]"
99,78,"[4, 19, 19, 8, 20, 8, 27, 66, 67, 49, 57, 52, 92, 74, 32, 77, 35, 4, 62, 28, 55, 56, 1, 77, 16, 3, 42, 63, 83, 32, 72, 55, 90, 33, 84, 34]"
100,56,"[84, 27, 43, 98, 71, 94, 12, 90, 77, 11, 98, 15, 23, 45, 83, 75, 96, 8, 24, 16, 96, 19, 73, 42, 96, 11, 6, 25, 79, 41, 69, 31, 20, 99, 46, 97]"
101,83,"[67, 8, 30, 11, 26, 52, 27, 34, 45, 5, 40, 30, 54, 3, 38, 57, 32, 69, 59, 63, 64, 25, 83, 1, 21, 87, 1, 61, 22, 39, 80, 5, 89, 57, 43, 99]"
102,28,"[69, 28, 97, 16, 54, 20, 72, 28, 39, 43, 51, 56, 77, 88, 2, 10, 51, 5, 41, 27, 65, 21, 93, 4, 83, 66, 6, 54, 61, 56, 48, 19, 91, 11, 76, 53]"
103,97,"[57, 31, 72, 34, 84, 55, 29, 54, 13, 50, 36, 44, 41, 77, 0, 41, 5, 2, 40, 36, 19, 34, 87, 86, 64, 50, 10, 28, 55, 58, 49, 14, 64, 100, 86, 70]"
104,53,"[53, 8, 100, 48, 7, 82, 31, 61, 78, 24, 55, 96, 88, 90, 57, 13, 91, 27, 55, 94, 90, 63, 18, 13, 11, 82, 28, 7, 95, 54, 16, 70, 65, 59, 33, 5]"
105,29,"[32, 36, 66, 52, 39, 32, 69, 37, 93, 77, 95, 94, 37, 8, 42, 98, 58, 69, 63, 91, 82, 54, 81, 27, 52, 34, 14, 93, 86, 84, 46, 49, 1, 15, 91, 37]"
106,23,"[10, 34, 49, 22, 87, 82, 14, 74, 32, 59, 78, 77, 42, 41, 80, 9, 17, 66, 94, 0, 34, 39, 39, 71, 96, 61, 48, 86, 50, 30, 58, 7, 62, 87, 38, 50]"
107,35,"[91, 47, 77, 67, 21, 94, 84, 33, 99, 31, 7, 22, 81, 70, 8, 49, 30, 10, 59, 100, 59, 52, 40, 76, 22, 58, 49, 43, 23, 45, 34, 17, 49, 80, 58, 37]"
108,25,"[69, 65, 89, 63, 90, 43, 26, 71, 77, 86, 30, 55, 86, 62, 85, 68, 6, 18, 63, 5, 74, 19, 83, 0, 17, 12, 2, 94, 9, 89, 44, 34, 38, 90, 7, 8]"
109,13,"[54, 80, 54, 58, 66, 57, 95, 32, 62, 35, 99, 35, 60, 34, 54, 8, 52, 52, 70, 44, 43, 11, 10, 47, 19, 71, 46, 6, 61, 87, 96, 49, 88, 2, 26, 50]"
110,67,"[84, 61, 23, 14, 26, 32, 54, 17, 98, 23, 7, 20, 64, 4, 67, 29, 53, 47, 18, 54, 22, 33, 16, 51, 33, 99, 87, 22, 40, 62, 58, 11, 28, 100, 48, 77]"
111,28,"[34, 62, 31, 23, 100, 20, 58, 8, 93, 2, 62, 80, 79, 81, 6, 79, 99, 2, 95, 40, 23, 95, 33, 51, 92, 67, 90, 47, 77, 35, 7, 96, 84, 17, 43, 4]"
112,26,"[33, 80, 34, 56, 91, 34, 6, 61, 60, 82, 13, 43, 77, 94, 11, 26, 71, 33, 48, 4, 14, 98, 51, 83, 95, 37, 74, 1, 48, 60, 21, 74, 73, 77, 17, 98]"
113,85,"[69, 31, 90, 73, 87, 10, 33, 36, 71, 12, 18, 15, 11, 96, 46, 62, 56, 99, 86, 25, 16, 11, 21, 34, 70, 91, 52, 59, 1, 71, 82, 41, 4, 62, 3, 73]"
114,64,"[63, 99, 11, 63, 48, 80, 60, 95, 10, 100, 48, 87, 72, 11, 4, 49, 67, 81, 95, 81, 2, 29, 74, 84, 26, 98, 57, 27, 98, 99, 11, 43, 19, 21, 14, 29]"
115,14,"[75, 4, 38, 97, 1, 76, 92, 76, 54, 61, 6, 26, 100, 62, 73, 80, 24, 69, 78, 80, 72, 58, 67, 6, 45, 60, 52, 29, 25, 57, 95, 33, 78, 90, 79, 23]"
116,9,"[16, 88, 28, 92, 20, 63, 6, 87, 52, 9, 47, 26, 84, 24, 69, 27, 29, 65, 62, 88, 53, 2, 48, 16, 44, 30, 23, 73, 57, 60, 82, 29, 87, 56, 0, 12]"
117,47,"[57, 19, 25, 86, 4, 13, 69, 16, 64, 46, 77, 77, 61, 69, 30, 65, 34, 91, 51, 59, 33, 20, 29, 53, 55, 96, 85, 88, 56, 72, 83, 96, 96, 83, 55, 21]"
118,38,"[40, 63, 25, 100, 100, 88, 17, 53, 78, 49, 93, 22, 32, 51, 81, 57, 36, 10, 91, 68, 15, 5, 62, 20, 48, 49, 14, 94, 46, 19, 1, 10, 91, 22, 44, 100]"
119,53,"[21, 0, 63, 60, 51, 26, 52, 56, 36, 96, 50, 25, 53, 21, 43, 4, 85, 54, 56, 32, 7, 41, 9, 96, 87, 52, 96, 26, 64, 29, 90, 28, 65, 31, 22, 46]"
120,20,"[92, 88, 3, 71, 72, 20, 28, 49, 69, 49, 13, 68, 93, 46, 76, 45, 61, 82, 61, 19, 82, 53, 86, 98, 67, 87, 6, 67, 91, 48, 49, 67, 89, 98, 11, 83]"
